index,Address,Category,City,Country,Latitude,Longitude,Name,Country2,City2,Query
0,Mall Plaza Antofagasta,Shopping Mall,,Chile,-23.645733618037447,-70.40286467755178,Aires de Mall Plaza,Chile,Antofagasta,shops
0,Prat 553,Pharmacy,Antofagasta,Chile,-23.648385186825855,-70.3968152414416,Salcobrand,Chile,Antofagasta,shops
0,Av. Balmaceda 2472,Electronics Store,Antofagasta,Chile,-23.646534008690654,-70.40078589943518,PC Factory,Chile,Antofagasta,shops
0,"Avenida José Miguel Balmaceda 2355, Interior Recinto Portuario",Shopping Mall,Antofagasta,Chile,-23.645703906635553,-70.40265958833018,Mall Plaza Antofagasta,Chile,Antofagasta,shops
0,Manuel Antonio Matta 2490,Pharmacy,Antofagasta,Chile,-23.650443060288055,-70.39643532720856,Farmacias Cruz Verde,Chile,Antofagasta,shops
0,Mata 2451,Pharmacy,Antofagasta,Chile,-23.65039054791521,-70.3968770138108,Salcobrand,Chile,Antofagasta,shops
0,Balmaceda 2355,Pharmacy,Antofagasta,Chile,-23.645020358173756,-70.40331431771679,Salcobrand,Chile,Antofagasta,shops
0,Arturo Prat 543,Pharmacy,Antofagasta,Chile,-23.648381696763952,-70.39684778513391,Farmacias Cruz Verde,Chile,Antofagasta,shops
0,,Grocery Store,,Chile,-23.634672979463975,-70.38795022589828,Panaderia nueva oriente,Chile,Antofagasta,shops
0,,Cosmetics Shop,Antofagasta,Chile,-23.644845527146348,-70.40344950979508,French Beauty,Chile,Antofagasta,shops
0,,Electronics Store,Antofagasta,Chile,-23.64489154485271,-70.40359525542698,WePlay,Chile,Antofagasta,shops
0,,Sporting Goods Shop,,Chile,-23.645147530527975,-70.40318682481653,Running Store,Chile,Antofagasta,shops
0,Mall Plaza Antofagasta,Optical Shop,Antofagasta,Chile,-23.645385193860818,-70.40310708149008,Óptica Place Vendôme,Chile,Antofagasta,shops
0,,Food & Drink Shop,Antofagasta,Chile,-23.641643549357358,-70.38982742059197,La Esquina,Chile,Antofagasta,shops
0,Balmaceda 2355,Sporting Goods Shop,Antofagasta,Chile,-23.645511051617618,-70.40308779263596,Nike,Chile,Antofagasta,shops
